price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;lat;long;sqft_living15;sqft_lot15
420000;2;1;860;3880;1;0;0;4;6;860;0;1916;0;476.862;-122.391;1230;4260
799950;4;3.5;3030;5494;3;0;0;3;9;3030;0;2014;0;477.103;-122.109;2910;5314
515000;2;1.75;950;15219;1;0;0;3;8;950;0;2009;0;477.723;-122.262;1560;12416
1.10E+06;4;3.75;5070;60123;2;0;0;3;11;5070;0;2000;0;476.567;-122.004;4920;101930
272500;3;2.5;2070;9900;1;0;0;3;8;1420;650;1979;0;472.988;-122.371;2070;8250
310000;3;2.5;2370;6752;2;0;0;3;8;2370;0;1994;0;472.703;-122.312;1870;7455
300000;3;2.5;1741;5701;2;0;0;3;8;1741;0;2012;0;47.379;-122.184;2002;5700
396000;1;1;630;5150;1;0;0;4;5;630;0;1954;0;476.923;-122.369;1390;5150
167000;1;1;780;10235;1.5;0;0;3;6;780;0;1989;0;47.713;-121.315;930;10165
740000;5;3.5;2720;11454;2;0;0;3;9;1830;890;1988;0;476.466;-122.119;2920;11310
551000;3;2.5;2830;5802;2;0;0;3;9;2830;0;2001;0;477.605;-122.234;2500;5788
207500;3;1;1640;9750;1;0;0;3;7;1640;0;1968;0;473.256;-122.141;1200;9750
347500;4;2.5;2156;3562;2;0;0;3;9;2156;0;2012;0;473.591;-122.201;1708;3539
889000;4;3.5;3210;5000;3;0;0;3;9;3210;0;2014;0;475.203;-122.393;1360;5000
783000;4;2.75;2080;5000;1;0;0;5;8;1470;610;1940;0;476.422;-122.403;1970;5000
251000;3;1.5;1590;21600;1.5;0;0;4;7;1590;0;1971;0;472.159;-121.966;1780;21600
434000;3;1.75;1660;8301;1;0;0;5;7;1660;0;1955;0;477.647;-122.263;1660;9489
438000;3;2.5;1650;3031;2;0;0;3;7;1650;0;2003;0;47.682;-122.034;1560;3070
595000;2;1.5;870;4800;1;0;0;3;7;870;0;1924;0;476.509;-122.37;2090;4800
480000;4;2.5;2980;4074;2;0;0;3;8;2980;0;2011;0;47.734;-121.965;2320;4255
355000;2;1;2020;6720;1;0;0;3;7;1010;1010;1948;0;475.474;-122.291;1720;6720
565000;3;2.75;2390;9966;1;0;0;5;8;1360;1030;1977;0;475.433;-122.185;2140;10713
824500;4;2.5;2610;3500;1.5;0;0;5;7;1610;1000;1927;0;476.848;-122.326;1820;3900
443500;3;2.5;2170;5866;2;0;0;3;7;2170;0;2006;0;475.403;-121.889;2440;5798
900000;3;2.5;3400;16603;2;0;0;3;10;3400;0;2000;0;476.012;-122.023;3400;12601
385000;4;2;2340;9716;1;0;0;3;7;2340;0;2009;0;474.842;-122.347;1180;13500
325000;4;2.5;1930;8458;2;0;0;3;7;1930;0;1993;0;473.645;-122.039;1670;9485
544000;4;2.5;2340;6973;2;0;0;3;8;1930;410;2005;0;475.451;-121.882;2950;6908
327000;3;3;1370;1001;3;0;0;3;8;1370;0;2009;0;477.302;-122.355;1399;1151
580000;3;1.75;1460;2800;2;0;0;3;7;1460;0;1928;0;476.779;-122.371;1220;4062
300000;3;2.75;2340;12282;1;0;2;3;8;1470;870;1978;0;477.379;-122.289;2640;8887
610000;4;2.5;2440;9350;1;0;0;4;8;1560;880;1976;0;475.614;-122.13;2260;8500
349500;3;2;1130;16875;1;0;0;4;7;1130;0;1947;0;477.489;-122.3;1600;14300
355000;2;1.75;1760;4600;1;0;0;4;7;850;910;1926;0;475.654;-122.372;1150;4800
520000;2;1;1360;22508;1;0;0;3;7;1360;0;1932;0;477.101;-122.226;2830;12600
329500;3;2.5;2120;22482;1;0;0;5;7;1360;760;1979;0;47.341;-122.265;2330;16016
335000;3;1.75;1400;7920;1;0;0;3;7;1400;0;1965;0;477.312;-122.202;1310;7876
176250;4;2;1440;6702;1;0;0;4;7;1440;0;1966;0;473.056;-122.217;1030;6702
913888;5;2.25;2370;15512;2;0;0;4;9;2370;0;1981;0;475.555;-122.15;2380;15100
348580;3;1;1220;7876;1;0;0;3;7;1220;0;1966;0;477.317;-122.201;1340;7876
350000;4;1.75;2420;8400;1;0;0;5;7;1620;800;1964;0;475.017;-122.165;1660;8400
455000;5;2;1870;13970;1;0;0;4;7;1120;750;1969;0;475.243;-122.042;1860;13970
275000;3;1;1230;171190;1;0;0;3;7;1230;0;1973;0;474.397;-122.46;1550;15450
275000;5;2;2260;11970;1;0;0;4;7;1250;1010;1962;0;473.896;-122.218;1950;11970
610000;4;2.5;2410;15899;2;0;3;3;9;2410;0;1990;0;476.242;-122.04;2360;11412
810000;4;2.5;2910;6555;2;0;0;3;9;2910;0;2005;0;476.659;-122.172;2910;10419
360000;4;2;1730;5500;1;0;0;5;7;1010;720;1943;0;475.304;-122.353;1080;4900
690000;4;1.5;1970;4590;2.5;0;0;3;7;1970;0;1909;0;47.666;-122.332;1900;4590
785000;4;2.75;2440;69415;1;0;0;4;8;1910;530;1989;0;475.944;-122.042;2770;24361
840000;4;2.75;3040;2800;2;0;0;3;9;2100;940;1906;2014;476.245;-122.327;1260;2178
850000;5;3.5;3450;28324;1;0;0;5;8;2350;1100;1972;0;476.991;-122.196;2640;14978
399000;4;2.5;2800;4687;2;0;0;3;9;2800;0;2005;0;473.594;-122.04;2750;4750
259500;3;2;1330;35060;1;0;0;3;7;1330;0;1989;0;473.128;-122.13;1660;35100
220000;3;2.25;1470;7518;1;0;0;3;7;1160;310;1985;0;472.725;-122.3;1720;8300
700000;4;2.5;2310;3570;1.5;0;0;3;7;1490;820;1927;2014;476.889;-122.347;1580;3060
540000;4;2.25;2850;7453;2;0;0;3;9;2850;0;1991;0;477.439;-122.174;2700;8468
264500;3;2.25;1370;7087;2;0;0;3;7;1370;0;1993;0;473.504;-122.035;1400;6600
465000;5;1.75;2000;10246;1;0;2;3;7;1200;800;1953;0;475.084;-122.246;2340;9030
677000;3;2;2000;3207;1;0;0;4;7;1100;900;1916;0;476.561;-122.341;1460;3200
259950;2;2;1070;649;2;0;0;3;9;720;350;2008;0;475.213;-122.357;1070;928
260000;4;2.5;2050;12500;1;0;0;3;7;1300;750;1965;0;47.42;-122.319;1790;7900
482975;3;2.25;2130;8801;1;0;0;3;8;1370;760;1976;0;477.462;-122.29;2820;8801
305000;3;2;1830;10873;1;0;0;3;8;1830;0;1989;0;473.066;-122.394;2490;8976
275436;4;2.75;2170;9658;1.5;0;0;3;7;2170;0;1966;0;473.741;-122.189;1490;9731
390000;4;1.75;2700;7875;1.5;0;0;4;8;2700;0;1968;0;47.454;-122.144;2220;7875
342000;3;1.75;1660;16275;2;0;0;3;7;1660;0;1990;0;476.903;-121.915;1520;16275
660000;3;3;2340;2970;2;0;0;5;8;2160;180;1925;0;476.868;-122.348;1370;4000
455000;2;1;980;5000;1;0;0;4;7;980;0;1950;0;477.518;-122.279;1600;5965
750000;5;1.75;2850;11860;1;0;0;3;9;2850;0;1951;0;477.503;-122.28;2640;11604
445000;3;2;1630;8702;1;0;0;3;9;1630;0;1987;0;475.168;-122.193;2250;9890
307000;4;2.75;2520;6964;1;0;0;4;7;1260;1260;1987;0;474.038;-122.175;1930;6949
1.00E+06;5;3;3350;9450;2;0;0;5;8;2180;1170;1912;1980;476.705;-122.34;2660;4500
910000;3;3.5;2480;3200;2;0;0;3;10;2480;0;2010;0;475.951;-122.307;1980;3200
470000;6;1.75;2490;8732;1.5;0;0;4;8;2490;0;1966;0;477.252;-122.187;1840;8024
755000;3;2.5;2000;1950;3;0;0;3;8;2000;0;2005;0;476.476;-122.356;1560;1340
259950;3;1;1460;5825;1;0;0;5;5;1260;200;1942;0;474.958;-122.191;1150;5926
425000;4;2.5;1940;4517;1;0;0;3;8;1190;750;2010;0;47.776;-122.26;1910;10410
460000;3;2.5;1450;1053;2;0;0;3;8;940;510;2008;0;476.754;-122.374;1410;1080
295000;3;2;1760;6092;1;0;0;3;7;1760;0;1998;0;473.838;-122.184;2590;6255
400000;2;2.5;1170;1811;2;0;0;3;8;1170;0;2001;0;476.132;-122.297;1250;3146
265000;3;1;1070;4800;1;0;0;3;6;970;100;1947;0;475.187;-122.377;1120;1198
343000;3;1;1410;18600;1;0;0;5;7;1410;0;1960;0;475.031;-122.152;1610;24941
233000;3;2;1710;4697;1.5;0;0;5;6;1710;0;1941;0;473.048;-122.218;1030;4705
305000;4;1;2100;9288;1;0;0;4;7;1050;1050;1968;0;474.558;-122.171;1600;8550
297000;4;2.5;2230;4952;2;0;0;3;8;2230;0;2011;0;473.363;-122.211;2030;3721
350000;5;1.75;1380;7620;1;0;0;3;7;1180;200;1955;0;475.279;-122.345;1990;7620
375000;5;1.5;2050;9360;1;0;0;3;7;1520;530;1968;0;47.436;-122.195;1840;9383
341500;5;2.25;3120;10400;2;0;0;3;8;3120;0;1980;0;473.097;-122.34;2160;8267
420000;4;1.75;2380;15324;1;0;0;3;8;1610;770;1978;0;476.262;-122.049;2540;12608
439800;3;1.5;1120;6900;1;0;0;5;7;1120;0;1956;0;476.023;-122.132;1300;7000
345000;2;1;1770;16660;1;0;3;3;8;1220;550;1957;0;473.346;-122.354;2790;20504
585000;3;1.5;1810;3880;1.5;0;0;4;8;1310;500;1929;0;476.835;-122.392;1400;3880
450000;3;2.5;1990;12866;2;0;0;4;7;1990;0;1986;0;477.477;-122.17;2310;8803
285000;2;1;890;7250;1;0;0;3;7;890;0;1943;0;477.118;-122.314;900;7000
449950;3;2;1560;4080;2;0;0;3;7;1560;0;1923;1982;476.892;-122.319;1900;4080
575000;5;1.75;2980;53578;1;0;0;4;9;2230;750;1976;0;474.908;-122.059;2860;75546
225000;3;1.5;1660;7221;1;0;0;3;7;980;680;1962;0;474.962;-122.32;1770;8083
340000;5;2.75;2440;6858;2;0;0;3;8;2440;0;2003;0;473.655;-122.174;2300;6858
672500;3;2.5;2450;5760;2;0;0;3;9;2450;0;2000;0;476.145;-122.026;2450;5762
439950;4;2.25;2460;14600;1;0;0;4;8;1720;740;1977;0;473.762;-122.16;2460;14600
720000;4;1.75;2620;11041;1.5;0;0;4;9;2620;0;1962;0;475.975;-122.174;2230;11041
399900;3;1.75;1260;12750;1;0;0;3;7;1260;0;1979;0;477.289;-122.233;1460;7865
539500;4;2.25;2280;8550;1;0;0;3;8;1660;620;1977;0;47.701;-122.231;2590;9500
302200;4;1.5;1730;10396;1;0;0;3;7;1730;0;1964;0;474.497;-122.168;1510;10396
295000;3;2.5;1690;8564;2;0;0;4;7;1690;0;1992;0;473.518;-122.057;1690;7532
995000;4;3.25;3530;20012;2;0;0;3;11;3530;0;1986;0;477.193;-122.127;3850;20707
495000;4;2.5;2400;11640;1;0;0;5;8;1800;600;1968;0;474.485;-122.139;2440;10823
219000;2;2.5;809;940;2;0;0;3;7;809;0;2003;0;475.499;-122.384;1260;4240
233000;3;1;1980;8505;1;0;0;3;7;1030;950;1965;0;47.538;-122.353;1830;8505
605000;4;2.25;1750;6120;1;0;0;3;7;1150;600;1962;0;476.958;-122.29;1350;6120
625700;3;2;2570;159865;1;0;0;5;7;2570;0;1968;0;475.547;-121.892;2010;38322
800000;7;6.75;7480;41664;2;0;2;3;11;5080;2400;1953;0;474.643;-122.368;2810;33190
450000;4;1;2000;4676;1.5;0;0;3;7;1250;750;1916;1986;475.529;-122.268;1140;4676
1.60E+06;5;3.5;4050;20925;2;0;3;3;10;3020;1030;1973;2005;475.348;-122.241;3880;18321
495000;2;1;970;4284;1;0;0;3;7;970;0;1905;0;476.667;-122.333;2050;4284
440000;3;2.25;1230;1097;3;0;0;3;8;1230;0;2009;0;476.697;-122.372;1420;1437
620000;4;2;1770;7700;1.5;0;0;4;7;1770;0;1962;0;475.916;-122.146;1710;7700
320000;3;2;2320;7800;1;0;0;4;7;1160;1160;1960;0;475.141;-122.316;1380;7800
399000;3;2.5;1430;1250;3;0;0;3;7;1430;0;2007;0;476.904;-122.342;1360;1269
571000;4;2;2750;7807;1.5;0;0;5;7;2250;500;1916;0;477.168;-122.287;1510;7807
305000;3;2.5;1610;3516;2;0;0;3;8;1610;0;2006;0;474.491;-122.188;1610;3056
362000;3;1;1290;10125;1;0;0;4;7;1290;0;1956;0;477.641;-122.265;1760;14460
949950;5;2.5;2340;1989;2;1;4;3;8;2340;0;1959;0;475.193;-122.257;2200;3230
230000;3;2.25;1830;11331;1;0;0;3;7;1250;580;1965;0;472.899;-122.287;2240;16433
982218;3;1.75;2340;5500;2;0;2;3;9;2340;0;1988;0;476.451;-122.319;2830;5500
299000;4;2.5;1950;3000;2;0;0;3;7;1950;0;2002;0;474.977;-122.226;1170;6000
279000;4;2;2200;7700;1;0;0;3;7;1100;1100;1979;0;47.464;-122.18;1790;7700
429900;4;2.5;2640;8625;2;0;0;3;8;2640;0;1987;0;474.598;-122.15;2240;8700
505000;3;1.75;1800;7210;1;0;0;3;7;1370;430;1976;0;477.346;-122.17;1820;8100
239950;5;1;1460;6032;2;0;0;4;6;1460;0;1941;0;47.487;-122.282;1060;10300
346000;3;2;1060;1184;2;0;0;3;7;730;330;2006;0;475.443;-122.385;1270;1601
212000;2;1;770;7000;1;0;0;3;6;770;0;1921;0;475.654;-121.89;1100;8777
205000;3;1;1180;8240;1;0;0;4;7;1180;0;1967;0;473.325;-122.321;1180;7840
340000;3;2;1870;3378;1;0;0;3;7;1120;750;1913;0;475.371;-122.393;1870;1872
544000;3;2.5;1460;1613;2;0;0;3;8;1180;280;2007;0;476.781;-122.375;1460;1403
690000;3;3.25;1540;1428;3;0;0;3;9;1540;0;2013;0;476.648;-122.353;1660;3300
788500;4;2.25;2510;133729;2;0;0;4;8;2510;0;1977;0;474.569;-122.02;2510;69696
397500;3;2;2130;8225;1;0;0;4;8;2130;0;1987;0;474.396;-122.162;2580;8225
543000;2;2;2370;217800;1.5;0;0;3;7;1600;770;1992;0;475.007;-122.088;2370;157687
440000;4;2.5;2300;10880;1;0;0;4;7;1190;1110;1961;0;477.341;-122.242;1960;10400
273148;3;1.75;1710;7210;1;0;0;4;7;1240;470;1974;0;474.094;-122.175;1840;7245
1.30E+06;5;3.75;4450;7680;2;0;0;3;9;3460;990;2010;0;476.418;-122.392;2550;6400
220000;3;1.75;1900;7680;1;0;0;3;7;1260;640;1959;0;475.081;-122.266;2000;7740
765000;2;1.75;1660;4000;1;0;0;3;7;990;670;1940;0;476.394;-122.28;2070;4000
1.28E+06;4;3.5;5844;10766;2;0;1;3;11;5844;0;2007;0;473.293;-122.364;3413;10766
335000;2;1.5;1170;5248;1;0;0;5;6;1170;0;1941;0;475.318;-122.374;1170;5120
340000;2;1;1090;6771;1;0;0;3;6;1090;0;1954;0;475.185;-122.352;1200;4992
550000;4;2.5;2170;9600;1;0;0;3;7;1460;710;1980;0;476.789;-122.116;1940;8400
337000;3;1.75;1400;6000;1;0;0;4;7;700;700;1919;0;475.283;-122.321;1030;6000
625000;4;2.5;2630;48706;2;0;0;3;8;2630;0;1986;0;47.775;-122.125;2680;48706
685000;3;2;2210;5000;1.5;0;2;3;7;1710;500;1909;0;476.754;-122.357;1920;5000
399440;4;2.5;2311;4396;2;0;0;3;9;2311;0;2014;0;473.276;-122.163;2458;4616
813000;4;2.5;3430;7508;2;0;0;3;10;3430;0;1998;0;476.866;-122.11;3110;8741
275000;4;2.5;2120;6754;2;0;0;3;7;2120;0;1998;0;473.629;-122.184;2120;6937
335000;4;2.5;1830;4500;2;0;0;3;7;1830;0;2004;0;473.504;-122.005;2080;5100
469000;2;1;1030;4400;1;0;0;3;7;1030;0;1924;0;47.681;-122.361;1400;4200
572000;4;2.75;2770;3852;2;0;0;3;8;2770;0;2014;0;475.001;-122.232;1810;5641
732000;3;3.75;2670;6517;2.5;0;4;4;8;2020;650;1977;0;475.702;-122.38;2010;6073
275000;4;1;1340;22500;1.5;0;0;3;7;1340;0;1926;0;47.489;-122.316;1620;10800
433000;4;1.5;1550;5053;1;0;0;4;7;1180;370;1963;0;475.499;-122.274;1450;5639
1.30E+06;6;4.5;3902;3880;3;0;4;4;9;2782;1120;1977;0;475.837;-122.399;1100;3870
275000;3;2.5;2497;4400;2;0;0;3;8;2497;0;2007;0;472.873;-122.283;2434;4400
492000;2;1;950;6000;1;0;0;3;7;950;0;1942;0;476.897;-122.294;1440;6000
351358;2;1.75;1210;1189;2;0;0;3;8;1210;0;2014;0;475.526;-121.998;1540;1672
257000;3;2.25;1730;9516;1;0;0;3;8;1180;550;1978;0;473.823;-122.166;1870;8165
715000;3;3.25;3060;9055;2;0;0;3;10;2460;600;1994;0;476.971;-122.101;2990;9598
360000;5;2.5;2130;7111;1;0;0;3;7;1330;800;1968;0;475.071;-122.16;1840;7592
550000;4;1.75;2150;9000;1;0;0;4;7;1110;1040;1966;0;476.812;-122.113;2040;9000
799000;4;3.5;3290;20107;2;0;4;3;10;2220;1070;1990;0;47.355;-122.319;2990;16988
674250;4;2.5;2780;35000;1;0;0;4;9;2780;0;1985;0;477.386;-122.091;2740;35072
700000;4;1.75;2340;9100;1;0;0;3;8;1610;730;1975;0;476.401;-122.108;2470;11000
735000;4;1.75;2460;5100;1.5;0;0;5;7;1450;1010;1909;0;476.782;-122.3;1560;5100
475000;3;1.75;1700;8432;1;0;0;3;8;1230;470;1977;0;477.221;-122.317;1800;7842
335000;4;2.25;2280;7500;1;0;0;4;7;1140;1140;1963;0;474.182;-122.332;1660;8000
1.90E+06;5;2.25;3120;16672;2;0;0;4;9;3120;0;1969;0;476.458;-122.219;3740;17853
659000;4;2;2350;9329;2;0;0;3;8;2350;0;1977;0;47.583;-122.17;1640;9403
458950;2;1;1530;4370;1;0;0;3;7;1130;400;1946;0;476.888;-122.308;1580;4275
345000;4;2.5;2390;6976;2;0;0;3;7;2390;0;2003;0;474.807;-122.182;2390;6346
170000;2;1;1280;21750;1.5;0;0;5;6;1280;0;1912;0;473.096;-122.241;1520;21750
432000;4;1;1750;12528;1;0;0;4;7;1750;0;1967;0;47.743;-122.097;1550;14120
799950;5;3.75;3760;4702;2;0;0;3;9;2780;980;2014;0;477.202;-122.223;2950;5981
265000;3;2;1380;8536;2;0;0;4;7;1380;0;1955;0;474.374;-122.335;1260;8750
625000;3;2.5;2330;3141;2;0;0;3;8;2330;0;2003;0;475.622;-122.392;1980;5265
460000;2;2.5;1880;40575;1;0;0;3;9;1880;0;1987;0;475.614;-121.899;1930;32935
309500;3;1.5;1340;13560;1;0;0;3;7;1340;0;1968;0;47.741;-122.234;1540;15000
385000;4;2;1850;11700;1;0;0;4;8;1850;0;1969;0;474.702;-122.12;2110;11700
359000;4;1;2180;10617;1.5;0;0;3;7;2180;0;1950;0;477.522;-122.307;1360;9519
208000;4;2.75;1810;8677;1.5;0;0;3;7;1810;0;1962;0;473.668;-122.31;1740;8677
635000;5;3.25;3710;34200;2;0;0;3;8;2510;1200;1986;0;476.101;-122.047;1720;23100
699950;4;2;2070;7830;1;0;1;5;7;1180;890;1941;0;477.058;-122.278;2390;7830
329900;3;2.5;2170;4905;2;0;0;3;8;2170;0;2004;0;473.503;-122.039;2300;4935
1.51E+06;5;3;3300;33474;1;0;3;3;9;1870;1430;1957;1991;475.673;-122.21;3836;20953
810000;4;3;3990;7838;2;0;0;3;9;3990;0;2003;0;476.857;-122.046;3370;6814
274250;3;1;910;8450;1;0;0;4;6;910;0;1962;0;474.787;-122.158;1400;8040
420000;3;1.5;1130;5413;1;0;0;3;7;940;190;1946;0;477.021;-122.32;1400;7168
290000;3;1.75;2060;7251;1;0;0;3;7;1350;710;1987;0;473.569;-122.175;1520;7582
323500;3;3;2240;11536;2;0;0;3;7;2240;0;1943;2005;474.886;-122.245;1650;8760
524000;4;1;1980;7015;1;0;0;3;7;1260;720;1973;0;477.204;-122.18;1570;7626
466000;4;2.25;2170;8050;1;0;0;3;7;1220;950;1976;0;477.354;-122.174;1820;7700
299950;3;2.5;1600;9830;2;0;0;4;8;1600;0;1993;0;47.339;-122.266;1890;8910
706000;4;2.5;2510;5436;2;0;0;3;8;2510;0;2011;0;476.894;-122.016;2520;5436
600000;6;3;2600;9350;1;0;0;4;8;1340;1260;1963;0;476.198;-122.105;2090;9102
1.21E+06;3;1.75;1900;13600;1;0;0;4;8;1900;0;1956;0;476.163;-122.219;2510;16600
713250;3;2;2050;9000;1;0;0;4;7;2050;0;1951;0;475.885;-122.245;2910;8856
417000;3;2.5;1570;4926;2;0;0;3;8;1570;0;2014;0;475.342;-121.842;1800;3202
346100;3;2.5;1400;2036;2;0;0;3;7;1400;0;2003;0;475.516;-122.382;1500;2036
227500;3;1;1150;8848;1;0;0;3;7;1150;0;1968;0;473.626;-122.111;1220;9576
729500;3;2.5;1660;1091;3;0;1;3;9;1530;130;2015;0;475.818;-122.402;1510;1352
388000;3;3.25;1370;915;2;0;0;3;8;1100;270;2006;0;475.639;-122.388;1370;1146
410000;3;2;1700;4250;1;0;0;3;6;890;810;1944;0;476.542;-122.385;1440;4250
576750;3;2;2220;5000;1;0;0;4;7;1110;1110;1966;0;475.807;-122.394;1450;5000
410000;4;2;1900;5100;1;0;0;3;6;950;950;1914;1973;476.767;-122.38;1230;5100
333000;3;1;950;5214;1;0;0;3;7;830;120;1944;0;475.362;-122.379;1490;7636
850000;4;1;2500;35802;1.5;0;0;3;7;2500;0;1955;0;476.488;-122.153;2880;40510
437000;2;1.75;1500;6800;1;0;0;4;7;910;590;1942;0;477.004;-122.371;1450;6800
1.65E+06;4;2.75;3190;14904;1;0;3;4;9;1940;1250;1949;1992;476.178;-122.214;2600;11195
900000;3;1;1560;3825;1.5;0;0;3;8;1390;170;1930;0;476.803;-122.387;1700;5100
480000;4;2.25;2230;11200;1;0;0;4;7;1300;930;1977;0;477.691;-122.167;2090;10563
585000;5;1.75;2000;3750;2;0;0;4;7;2000;0;1921;0;476.618;-122.355;1520;3750
281000;3;1;1340;21336;1.5;0;0;4;5;1340;0;1945;0;474.023;-122.273;1340;37703
175003;3;1.5;1390;1882;2;0;0;3;7;1390;0;2014;0;475.667;-122.297;1490;2175
473000;2;1;900;5100;1;0;0;4;7;900;0;1909;0;476.804;-122.378;1400;5100
589950;3;2.75;1670;1350;3;0;0;3;9;1350;320;2014;0;475.763;-122.408;1520;4800
457500;3;2.25;1430;2003;2;0;0;3;8;980;450;1996;0;475.908;-122.292;2210;4000
525000;3;1.75;1470;6550;1;0;2;3;7;1070;400;1916;0;475.463;-122.381;1440;6550
792500;3;1.5;1960;2400;2;0;0;3;8;1330;630;1911;0;476.423;-122.37;2090;4000
